date,status,classification_type,product_description,product_reason,recalling_firm,distribution_pattern,upc
6/25/13,Ongoing,Class II,talenti gelato toasted almond one pint talenti gelato,Product contains undeclared Allergen; Pecans.,Talenti Gelato,"[AK, CT, ID, IL, IN, MD, MA, MT, NH, NJ, NY, NC, OH, PA, TN, VA, WA, WI]",186852000396
9/10/13,Ongoing,Class II,talenti german chocolate cake gelato one pint talenti gelato,Product contains undeclared Allergen; Almonds.,Talenti Gelato,"[AZ, CO, CT, DE, GA, IA, IN, MA, MD, MN, MO, NC, NH, NY, PA, TX, WI]",186852000631
1/20/16,Ongoing,Class II,fruit tartlets raspberry flavor ouhlala gourmet llc,Products contain undeclared milk on finished product labeling,Ouhlala Gourmet Llc,[USA],
1/20/16,Ongoing,Class II,fruit tartlets lemon flavor ouhlala gourmet llc,Products contain undeclared milk on finished product labeling,Ouhlala Gourmet Llc,"[EG, BM, UAE]",208544170024
4/26/16,Ongoing,Class II,white cupcakes with yellow icing upc dessert innovations ii candy divison,Undeclared allergen; Peanut Protein,Dessert Innovations II Candy Divison,"[GA, NC]",100748651101
4/26/16,Ongoing,Class II,white cupcakes with white icing upc dessert innovations ii candy divison,Undeclared allergen; Peanut Protein,Dessert Innovations II Candy Divison,"[GA, NC]",100748651101
4/26/16,Ongoing,Class II,white cupcakes with pink icing upc dessert innovations ii candy divison,Undeclared allergen; Peanut Protein,Dessert Innovations II Candy Divison,"[GA, NC]",100748651101
4/26/16,Ongoing,Class II,white cupcakes with blue icing upc dessert innovations ii candy divison,Undeclared allergen; Peanut Protein,Dessert Innovations II Candy Divison,"[GA, NC]",100748651101
4/28/16,Ongoing,Class I,fresh long chili peppers raw patel shippers inc,Product tested positive for Salmonella.,Patel Shippers Inc,"[FL, NY, VA]",
8/5/16,Ongoing,Class I,eastern feast green raisin commerce international inc.,Initiated by the Florida Department of Agriculture and Consumer Services due to undeclared sulfites on the finished product label.,Commerce International Inc.,[FL],665603780379
